quarter,level_1,level_2,value
1995-Q4,Total,Watches & Jewellery,115.1
1995-Q4,Total,Computer & Telecommunications Equipment,22.3
1995-Q4,Total,Optical Goods & Books,87.5
1995-Q4,Total,Others,77.2
1996-Q1,Total,Department Stores,66
1996-Q1,Total,Supermarkets,51.3
1996-Q1,Total,Mini-marts & Convenience Stores,84.3
1996-Q1,Total,Food Retailers,127.8
1996-Q1,Total,Motor Vehicles,74
1996-Q1,Total,Petrol Service Stations,103.4
1996-Q1,Total,Medical Goods & Toiletries,42
1996-Q1,Total,Wearing Apparel & Footwear,70.6
1996-Q1,Total,Furniture & Household Equipment,53.3
1996-Q1,Total,Recreational Goods,62.5
1996-Q1,Total,Watches & Jewellery,108.7
1996-Q1,Total,Computer & Telecommunications Equipment,24.3
1996-Q1,Total,Optical Goods & Books,81.8
1996-Q1,Total,Others,79.3
1996-Q2,Total,Department Stores,58.6
1996-Q2,Total,Supermarkets,50.9
1996-Q2,Total,Mini-marts & Convenience Stores,77.2
1996-Q2,Total,Food Retailers,92.1
1996-Q2,Total,Motor Vehicles,65.9
1996-Q2,Total,Petrol Service Stations,106.8
1996-Q2,Total,Medical Goods & Toiletries,39.9
1996-Q2,Total,Wearing Apparel & Footwear,54.7
1996-Q2,Total,Furniture & Household Equipment,48.6
1996-Q2,Total,Recreational Goods,63.2
1996-Q2,Total,Watches & Jewellery,87.9
1996-Q2,Total,Computer & Telecommunications Equipment,29.5
1996-Q2,Total,Optical Goods & Books,81.1
1996-Q2,Total,Others,74.3
1996-Q3,Total,Department Stores,60.4
1996-Q3,Total,Supermarkets,53.9
1996-Q3,Total,Mini-marts & Convenience Stores,79.4
1996-Q3,Total,Food Retailers,94.9
1996-Q3,Total,Motor Vehicles,63.2
1996-Q3,Total,Petrol Service Stations,110.8
1996-Q3,Total,Medical Goods & Toiletries,42.6
1996-Q3,Total,Wearing Apparel & Footwear,62.9
1996-Q3,Total,Furniture & Household Equipment,50.7
1996-Q3,Total,Recreational Goods,71.7
1996-Q3,Total,Watches & Jewellery,92.9
1996-Q3,Total,Computer & Telecommunications Equipment,27.2
1996-Q3,Total,Optical Goods & Books,82.5
1996-Q3,Total,Others,82.4
1996-Q4,Total,Department Stores,68.2
1996-Q4,Total,Supermarkets,56.5
1996-Q4,Total,Mini-marts & Convenience Stores,82.4
1996-Q4,Total,Food Retailers,93
1996-Q4,Total,Motor Vehicles,67.6
1996-Q4,Total,Petrol Service Stations,110.6
1996-Q4,Total,Medical Goods & Toiletries,45.1
1996-Q4,Total,Wearing Apparel & Footwear,74.8
1996-Q4,Total,Furniture & Household Equipment,62.4
1996-Q4,Total,Recreational Goods,92.2
1996-Q4,Total,Watches & Jewellery,122.9
1996-Q4,Total,Computer & Telecommunications Equipment,26.7
1996-Q4,Total,Optical Goods & Books,95.5
1996-Q4,Total,Others,81.3
1997-Q1,Total,Department Stores,64.9
1997-Q1,Total,Supermarkets,56.1
1997-Q1,Total,Mini-marts & Convenience Stores,83.7
1997-Q1,Total,Food Retailers,125.7
1997-Q1,Total,Motor Vehicles,58.5
1997-Q1,Total,Petrol Service Stations,105.1
1997-Q1,Total,Medical Goods & Toiletries,44.9
1997-Q1,Total,Wearing Apparel & Footwear,68.6
1997-Q1,Total,Furniture & Household Equipment,58.6
1997-Q1,Total,Recreational Goods,82.9
1997-Q1,Total,Watches & Jewellery,132.2
1997-Q1,Total,Computer & Telecommunications Equipment,30.4
1997-Q1,Total,Optical Goods & Books,90.7
1997-Q1,Total,Others,77.9
1997-Q2,Total,Department Stores,60
1997-Q2,Total,Supermarkets,55.8
1997-Q2,Total,Mini-marts & Convenience Stores,79.8
1997-Q2,Total,Food Retailers,87.2
1997-Q2,Total,Motor Vehicles,59.1
1997-Q2,Total,Petrol Service Stations,98.8
1997-Q2,Total,Medical Goods & Toiletries,43.6
1997-Q2,Total,Wearing Apparel & Footwear,55.3
1997-Q2,Total,Furniture & Household Equipment,55.7
1997-Q2,Total,Recreational Goods,78.6
1997-Q2,Total,Watches & Jewellery,108.5
1997-Q2,Total,Computer & Telecommunications Equipment,29.6
1997-Q2,Total,Optical Goods & Books,85.9
1997-Q2,Total,Others,76.8
1997-Q3,Total,Department Stores,59
1997-Q3,Total,Supermarkets,57.2
1997-Q3,Total,Mini-marts & Convenience Stores,80.2
1997-Q3,Total,Food Retailers,93.6
1997-Q3,Total,Motor Vehicles,64.6
1997-Q3,Total,Petrol Service Stations,102.4
1997-Q3,Total,Medical Goods & Toiletries,45.8
1997-Q3,Total,Wearing Apparel & Footwear,59.8
1997-Q3,Total,Furniture & Household Equipment,56.3
1997-Q3,Total,Recreational Goods,77.3
1997-Q3,Total,Watches & Jewellery,133.8
1997-Q3,Total,Computer & Telecommunications Equipment,33.2
1997-Q3,Total,Optical Goods & Books,87.5
1997-Q3,Total,Others,73.5
1997-Q4,Total,Department Stores,63.7
1997-Q4,Total,Supermarkets,65.9
1997-Q4,Total,Mini-marts & Convenience Stores,82.3
1997-Q4,Total,Food Retailers,82.2
1997-Q4,Total,Motor Vehicles,48.6
1997-Q4,Total,Petrol Service Stations,100.5
1997-Q4,Total,Medical Goods & Toiletries,43.7
1997-Q4,Total,Wearing Apparel & Footwear,63.5
1997-Q4,Total,Furniture & Household Equipment,65.2
1997-Q4,Total,Recreational Goods,82.9
1997-Q4,Total,Watches & Jewellery,127.1
1997-Q4,Total,Computer & Telecommunications Equipment,30.7
1997-Q4,Total,Optical Goods & Books,94.9
1997-Q4,Total,Others,71.6
1998-Q1,Total,Department Stores,56.8
1998-Q1,Total,Supermarkets,70.2
1998-Q1,Total,Mini-marts & Convenience Stores,83.5
1998-Q1,Total,Food Retailers,94.1
1998-Q1,Total,Motor Vehicles,50.3
1998-Q1,Total,Petrol Service Stations,102.5
1998-Q1,Total,Medical Goods & Toiletries,42.2
1998-Q1,Total,Wearing Apparel & Footwear,60.5
1998-Q1,Total,Furniture & Household Equipment,60.6
1998-Q1,Total,Recreational Goods,68.2
1998-Q1,Total,Watches & Jewellery,99.8
1998-Q1,Total,Computer & Telecommunications Equipment,26.8
1998-Q1,Total,Optical Goods & Books,84.4
1998-Q1,Total,Others,74.6
1998-Q2,Total,Department Stores,53.2
1998-Q2,Total,Supermarkets,67.4
1998-Q2,Total,Mini-marts & Convenience Stores,80.7
1998-Q2,Total,Food Retailers,66.3
1998-Q2,Total,Motor Vehicles,66.5
1998-Q2,Total,Petrol Service Stations,101.5
1998-Q2,Total,Medical Goods & Toiletries,41.2
1998-Q2,Total,Wearing Apparel & Footwear,51.8
1998-Q2,Total,Furniture & Household Equipment,55.4
1998-Q2,Total,Recreational Goods,67
1998-Q2,Total,Watches & Jewellery,83.6
1998-Q2,Total,Computer & Telecommunications Equipment,24.1
1998-Q2,Total,Optical Goods & Books,76
1998-Q2,Total,Others,79.2
1998-Q3,Total,Department Stores,51.9
1998-Q3,Total,Supermarkets,67.4
1998-Q3,Total,Mini-marts & Convenience Stores,81.9
1998-Q3,Total,Food Retailers,66.1
1998-Q3,Total,Motor Vehicles,59.5
1998-Q3,Total,Petrol Service Stations,99.8
1998-Q3,Total,Medical Goods & Toiletries,43.3
1998-Q3,Total,Wearing Apparel & Footwear,50.8
1998-Q3,Total,Furniture & Household Equipment,54.1
1998-Q3,Total,Recreational Goods,65.7
1998-Q3,Total,Watches & Jewellery,86.1
1998-Q3,Total,Computer & Telecommunications Equipment,20.3
1998-Q3,Total,Optical Goods & Books,74.6
1998-Q3,Total,Others,66.8
1998-Q4,Total,Department Stores,60.1
1998-Q4,Total,Supermarkets,72.9
1998-Q4,Total,Mini-marts & Convenience Stores,80
1998-Q4,Total,Food Retailers,71.7
1998-Q4,Total,Motor Vehicles,57.9
1998-Q4,Total,Petrol Service Stations,96.6
1998-Q4,Total,Medical Goods & Toiletries,43.7
1998-Q4,Total,Wearing Apparel & Footwear,60.8
1998-Q4,Total,Furniture & Household Equipment,65.3
1998-Q4,Total,Recreational Goods,74.3
1998-Q4,Total,Watches & Jewellery,105.3
1998-Q4,Total,Computer & Telecommunications Equipment,20.7
1998-Q4,Total,Optical Goods & Books,89.1
1998-Q4,Total,Others,69.4
1999-Q1,Total,Department Stores,60.2
1999-Q1,Total,Supermarkets,71.5
1999-Q1,Total,Mini-marts & Convenience Stores,80.4
1999-Q1,Total,Food Retailers,97
1999-Q1,Total,Motor Vehicles,59.6
1999-Q1,Total,Petrol Service Stations,95.6
1999-Q1,Total,Medical Goods & Toiletries,43.5
1999-Q1,Total,Wearing Apparel & Footwear,68.1
1999-Q1,Total,Furniture & Household Equipment,63.8
1999-Q1,Total,Recreational Goods,71
1999-Q1,Total,Watches & Jewellery,102.5
1999-Q1,Total,Computer & Telecommunications Equipment,23.3
1999-Q1,Total,Optical Goods & Books,82
1999-Q1,Total,Others,68.4
1999-Q2,Total,Department Stores,59.3
1999-Q2,Total,Supermarkets,66.5
1999-Q2,Total,Mini-marts & Convenience Stores,76.4
1999-Q2,Total,Food Retailers,69.7
1999-Q2,Total,Motor Vehicles,77.7
1999-Q2,Total,Petrol Service Stations,97.3
1999-Q2,Total,Medical Goods & Toiletries,45.6
1999-Q2,Total,Wearing Apparel & Footwear,59.2
1999-Q2,Total,Furniture & Household Equipment,60.2
1999-Q2,Total,Recreational Goods,76.8
1999-Q2,Total,Watches & Jewellery,101.8
1999-Q2,Total,Computer & Telecommunications Equipment,27
1999-Q2,Total,Optical Goods & Books,81.7
1999-Q2,Total,Others,70.8
1999-Q3,Total,Department Stores,57
1999-Q3,Total,Supermarkets,63.7
1999-Q3,Total,Mini-marts & Convenience Stores,77.2
1999-Q3,Total,Food Retailers,77.4
1999-Q3,Total,Motor Vehicles,94
1999-Q3,Total,Petrol Service Stations,98.4
1999-Q3,Total,Medical Goods & Toiletries,45.4
1999-Q3,Total,Wearing Apparel & Footwear,60.2
1999-Q3,Total,Furniture & Household Equipment,63.6
1999-Q3,Total,Recreational Goods,78.5
1999-Q3,Total,Watches & Jewellery,106.2
1999-Q3,Total,Computer & Telecommunications Equipment,26.5
1999-Q3,Total,Optical Goods & Books,85.3
1999-Q3,Total,Others,72
1999-Q4,Total,Department Stores,68.7
1999-Q4,Total,Supermarkets,67.9
1999-Q4,Total,Mini-marts & Convenience Stores,80.4
1999-Q4,Total,Food Retailers,76.1
1999-Q4,Total,Motor Vehicles,90.7
1999-Q4,Total,Petrol Service Stations,95.9
1999-Q4,Total,Medical Goods & Toiletries,49.4
1999-Q4,Total,Wearing Apparel & Footwear,74.2
1999-Q4,Total,Furniture & Household Equipment,71.5
1999-Q4,Total,Recreational Goods,94.2
1999-Q4,Total,Watches & Jewellery,116.3
1999-Q4,Total,Computer & Telecommunications Equipment,29.2
1999-Q4,Total,Optical Goods & Books,100.9
1999-Q4,Total,Others,75.4
2000-Q1,Total,Department Stores,66.7
2000-Q1,Total,Supermarkets,66.3
2000-Q1,Total,Mini-marts & Convenience Stores,80.3
2000-Q1,Total,Food Retailers,106.6
2000-Q1,Total,Motor Vehicles,106.1
2000-Q1,Total,Petrol Service Stations,95
2000-Q1,Total,Medical Goods & Toiletries,50.5
2000-Q1,Total,Wearing Apparel & Footwear,76.1
2000-Q1,Total,Furniture & Household Equipment,70.9
2000-Q1,Total,Recreational Goods,80
2000-Q1,Total,Watches & Jewellery,100.4
2000-Q1,Total,Computer & Telecommunications Equipment,37.3
2000-Q1,Total,Optical Goods & Books,93.9
2000-Q1,Total,Others,76.5
2000-Q2,Total,Department Stores,63.8
2000-Q2,Total,Supermarkets,65
2000-Q2,Total,Mini-marts & Convenience Stores,78.1
2000-Q2,Total,Food Retailers,71.4
2000-Q2,Total,Motor Vehicles,132.4
2000-Q2,Total,Petrol Service Stations,95.1
2000-Q2,Total,Medical Goods & Toiletries,49.9
2000-Q2,Total,Wearing Apparel & Footwear,60.6
2000-Q2,Total,Furniture & Household Equipment,64.2
2000-Q2,Total,Recreational Goods,83.7
2000-Q2,Total,Watches & Jewellery,100.2
2000-Q2,Total,Computer & Telecommunications Equipment,40
2000-Q2,Total,Optical Goods & Books,91
2000-Q2,Total,Others,77
2000-Q3,Total,Department Stores,60.4
2000-Q3,Total,Supermarkets,74.5
2000-Q3,Total,Mini-marts & Convenience Stores,79.6
2000-Q3,Total,Food Retailers,77.8
2000-Q3,Total,Motor Vehicles,141.8
2000-Q3,Total,Petrol Service Stations,95.2
2000-Q3,Total,Medical Goods & Toiletries,47.5
2000-Q3,Total,Wearing Apparel & Footwear,65.9
2000-Q3,Total,Furniture & Household Equipment,66.2
2000-Q3,Total,Recreational Goods,76.4
2000-Q3,Total,Watches & Jewellery,98.6
2000-Q3,Total,Computer & Telecommunications Equipment,39.6
2000-Q3,Total,Optical Goods & Books,95.4
2000-Q3,Total,Others,76.9
2000-Q4,Total,Department Stores,70.1
2000-Q4,Total,Supermarkets,77.7
2000-Q4,Total,Mini-marts & Convenience Stores,83.9
2000-Q4,Total,Food Retailers,78.4
2000-Q4,Total,Motor Vehicles,137.6
2000-Q4,Total,Petrol Service Stations,90.8
2000-Q4,Total,Medical Goods & Toiletries,50.7
2000-Q4,Total,Wearing Apparel & Footwear,76.4
2000-Q4,Total,Furniture & Household Equipment,77.6
2000-Q4,Total,Recreational Goods,97.4
2000-Q4,Total,Watches & Jewellery,124.8
2000-Q4,Total,Computer & Telecommunications Equipment,40.5
2000-Q4,Total,Optical Goods & Books,106.1
2000-Q4,Total,Others,81
2001-Q1,Total,Department Stores,62.7
2001-Q1,Total,Supermarkets,78.9
2001-Q1,Total,Mini-marts & Convenience Stores,83.2
2001-Q1,Total,Food Retailers,104.8
2001-Q1,Total,Motor Vehicles,167.3
2001-Q1,Total,Petrol Service Stations,92.9
2001-Q1,Total,Medical Goods & Toiletries,50.8
2001-Q1,Total,Wearing Apparel & Footwear,73.1
2001-Q1,Total,Furniture & Household Equipment,62
2001-Q1,Total,Recreational Goods,75.8
2001-Q1,Total,Watches & Jewellery,104.8
2001-Q1,Total,Computer & Telecommunications Equipment,49.5
2001-Q1,Total,Optical Goods & Books,99
2001-Q1,Total,Others,80.8
2001-Q2,Total,Department Stores,61.3
2001-Q2,Total,Supermarkets,76.8
2001-Q2,Total,Mini-marts & Convenience Stores,79.8
2001-Q2,Total,Food Retailers,74.4
2001-Q2,Total,Motor Vehicles,159.2
2001-Q2,Total,Petrol Service Stations,91.9
2001-Q2,Total,Medical Goods & Toiletries,49.6
2001-Q2,Total,Wearing Apparel & Footwear,63.6
2001-Q2,Total,Furniture & Household Equipment,61.1
2001-Q2,Total,Recreational Goods,80.8
2001-Q2,Total,Watches & Jewellery,103.9
2001-Q2,Total,Computer & Telecommunications Equipment,38.2
2001-Q2,Total,Optical Goods & Books,91.1
2001-Q2,Total,Others,73.7
2001-Q3,Total,Department Stores,58.7
2001-Q3,Total,Supermarkets,78.1
2001-Q3,Total,Mini-marts & Convenience Stores,82.3
2001-Q3,Total,Food Retailers,77.1
2001-Q3,Total,Motor Vehicles,148.6
2001-Q3,Total,Petrol Service Stations,93.2
2001-Q3,Total,Medical Goods & Toiletries,47.8
2001-Q3,Total,Wearing Apparel & Footwear,62.8
2001-Q3,Total,Furniture & Household Equipment,63.1
2001-Q3,Total,Recreational Goods,78.1
2001-Q3,Total,Watches & Jewellery,97.9
2001-Q3,Total,Computer & Telecommunications Equipment,36.8
2001-Q3,Total,Optical Goods & Books,90.7
2001-Q3,Total,Others,88
2001-Q4,Total,Department Stores,66.7
2001-Q4,Total,Supermarkets,82.4
2001-Q4,Total,Mini-marts & Convenience Stores,85.7
2001-Q4,Total,Food Retailers,79.6
2001-Q4,Total,Motor Vehicles,143.5
2001-Q4,Total,Petrol Service Stations,94.1
2001-Q4,Total,Medical Goods & Toiletries,50.4
2001-Q4,Total,Wearing Apparel & Footwear,78.1
2001-Q4,Total,Furniture & Household Equipment,76.8
2001-Q4,Total,Recreational Goods,88
2001-Q4,Total,Watches & Jewellery,116.8
2001-Q4,Total,Computer & Telecommunications Equipment,37
2001-Q4,Total,Optical Goods & Books,104.7
2001-Q4,Total,Others,90.5
2002-Q1,Total,Department Stores,63.1
2002-Q1,Total,Supermarkets,83.1
2002-Q1,Total,Mini-marts & Convenience Stores,85.8
2002-Q1,Total,Food Retailers,111.6
2002-Q1,Total,Motor Vehicles,156.3
2002-Q1,Total,Petrol Service Stations,92.5
2002-Q1,Total,Medical Goods & Toiletries,52
2002-Q1,Total,Wearing Apparel & Footwear,72.9
2002-Q1,Total,Furniture & Household Equipment,67.3
2002-Q1,Total,Recreational Goods,71.8
2002-Q1,Total,Watches & Jewellery,100.8
2002-Q1,Total,Computer & Telecommunications Equipment,35.6
2002-Q1,Total,Optical Goods & Books,98.3
2002-Q1,Total,Others,86.5
2002-Q2,Total,Department Stores,60.9
2002-Q2,Total,Supermarkets,81
2002-Q2,Total,Mini-marts & Convenience Stores,83.9
2002-Q2,Total,Food Retailers,79.9
2002-Q2,Total,Motor Vehicles,136.4
2002-Q2,Total,Petrol Service Stations,89.6
2002-Q2,Total,Medical Goods & Toiletries,48.6
2002-Q2,Total,Wearing Apparel & Footwear,60.2
2002-Q2,Total,Furniture & Household Equipment,64.2
2002-Q2,Total,Recreational Goods,75.6
2002-Q2,Total,Watches & Jewellery,102.3
2002-Q2,Total,Computer & Telecommunications Equipment,36.1
2002-Q2,Total,Optical Goods & Books,93.9
2002-Q2,Total,Others,92.5
2002-Q3,Total,Department Stores,58.8
2002-Q3,Total,Supermarkets,82.9
2002-Q3,Total,Mini-marts & Convenience Stores,87.3
2002-Q3,Total,Food Retailers,86.6
2002-Q3,Total,Motor Vehicles,144.9
2002-Q3,Total,Petrol Service Stations,92.9
2002-Q3,Total,Medical Goods & Toiletries,48.2
2002-Q3,Total,Wearing Apparel & Footwear,61.2
2002-Q3,Total,Furniture & Household Equipment,66.7
2002-Q3,Total,Recreational Goods,73.3
2002-Q3,Total,Watches & Jewellery,97.7
2002-Q3,Total,Computer & Telecommunications Equipment,35.4
2002-Q3,Total,Optical Goods & Books,96.9
2002-Q3,Total,Others,90.2
2002-Q4,Total,Department Stores,68.1
2002-Q4,Total,Supermarkets,91.7
2002-Q4,Total,Mini-marts & Convenience Stores,92.8
2002-Q4,Total,Food Retailers,84.1
2002-Q4,Total,Motor Vehicles,149.9
2002-Q4,Total,Petrol Service Stations,90
2002-Q4,Total,Medical Goods & Toiletries,54.6
2002-Q4,Total,Wearing Apparel & Footwear,79.4
2002-Q4,Total,Furniture & Household Equipment,82.3
2002-Q4,Total,Recreational Goods,87.9
2002-Q4,Total,Watches & Jewellery,111.5
2002-Q4,Total,Computer & Telecommunications Equipment,44
2002-Q4,Total,Optical Goods & Books,113.8
2002-Q4,Total,Others,104.8
2003-Q1,Total,Department Stores,62.6
2003-Q1,Total,Supermarkets,91.1
2003-Q1,Total,Mini-marts & Convenience Stores,89.5
2003-Q1,Total,Food Retailers,114.5
2003-Q1,Total,Motor Vehicles,157
2003-Q1,Total,Petrol Service Stations,88.2
2003-Q1,Total,Medical Goods & Toiletries,53.4
2003-Q1,Total,Wearing Apparel & Footwear,69.7
2003-Q1,Total,Furniture & Household Equipment,62.8
2003-Q1,Total,Recreational Goods,68.1
2003-Q1,Total,Watches & Jewellery,88.3
2003-Q1,Total,Computer & Telecommunications Equipment,40
2003-Q1,Total,Optical Goods & Books,98.2
2003-Q1,Total,Others,92.1
2003-Q2,Total,Department Stores,55.3
2003-Q2,Total,Supermarkets,92
2003-Q2,Total,Mini-marts & Convenience Stores,85.2
2003-Q2,Total,Food Retailers,65
2003-Q2,Total,Motor Vehicles,175.6
2003-Q2,Total,Petrol Service Stations,86.1
2003-Q2,Total,Medical Goods & Toiletries,52.9
2003-Q2,Total,Wearing Apparel & Footwear,49
2003-Q2,Total,Furniture & Household Equipment,61.5
2003-Q2,Total,Recreational Goods,68.8
2003-Q2,Total,Watches & Jewellery,91.3
2003-Q2,Total,Computer & Telecommunications Equipment,42.3
2003-Q2,Total,Optical Goods & Books,93.7
2003-Q2,Total,Others,79.2
2003-Q3,Total,Department Stores,58.1
2003-Q3,Total,Supermarkets,85
2003-Q3,Total,Mini-marts & Convenience Stores,87.3
2003-Q3,Total,Food Retailers,86
2003-Q3,Total,Motor Vehicles,184.5
2003-Q3,Total,Petrol Service Stations,90.2
2003-Q3,Total,Medical Goods & Toiletries,51.9
2003-Q3,Total,Wearing Apparel & Footwear,56.2
2003-Q3,Total,Furniture & Household Equipment,60.9
2003-Q3,Total,Recreational Goods,70.4
2003-Q3,Total,Watches & Jewellery,96
2003-Q3,Total,Computer & Telecommunications Equipment,37.7
2003-Q3,Total,Optical Goods & Books,100.8
2003-Q3,Total,Others,76.5
2003-Q4,Total,Department Stores,69.5
2003-Q4,Total,Supermarkets,88.5
2003-Q4,Total,Mini-marts & Convenience Stores,91.1
2003-Q4,Total,Food Retailers,88.6
2003-Q4,Total,Motor Vehicles,200.6
2003-Q4,Total,Petrol Service Stations,90.4
2003-Q4,Total,Medical Goods & Toiletries,54.9
2003-Q4,Total,Wearing Apparel & Footwear,75.4
2003-Q4,Total,Furniture & Household Equipment,79.8
2003-Q4,Total,Recreational Goods,96.2
2003-Q4,Total,Watches & Jewellery,124.1
2003-Q4,Total,Computer & Telecommunications Equipment,40.3
2003-Q4,Total,Optical Goods & Books,114.8
2003-Q4,Total,Others,83.9
2004-Q1,Total,Department Stores,63.9
2004-Q1,Total,Supermarkets,85.9
2004-Q1,Total,Mini-marts & Convenience Stores,91.8
2004-Q1,Total,Food Retailers,106
2004-Q1,Total,Motor Vehicles,228.7
2004-Q1,Total,Petrol Service Stations,88.4
2004-Q1,Total,Medical Goods & Toiletries,56.6
2004-Q1,Total,Wearing Apparel & Footwear,67.2
2004-Q1,Total,Furniture & Household Equipment,67.8
2004-Q1,Total,Recreational Goods,75.3
2004-Q1,Total,Watches & Jewellery,102.2
2004-Q1,Total,Computer & Telecommunications Equipment,43.5
2004-Q1,Total,Optical Goods & Books,98.7
2004-Q1,Total,Others,100.6
2004-Q2,Total,Department Stores,62.3
2004-Q2,Total,Supermarkets,79.7
2004-Q2,Total,Mini-marts & Convenience Stores,89.1
2004-Q2,Total,Food Retailers,77.9
2004-Q2,Total,Motor Vehicles,207
2004-Q2,Total,Petrol Service Stations,87.2
2004-Q2,Total,Medical Goods & Toiletries,57.1
2004-Q2,Total,Wearing Apparel & Footwear,62.4
2004-Q2,Total,Furniture & Household Equipment,68.4
2004-Q2,Total,Recreational Goods,80
2004-Q2,Total,Watches & Jewellery,100.1
2004-Q2,Total,Computer & Telecommunications Equipment,43.2
2004-Q2,Total,Optical Goods & Books,97.7
2004-Q2,Total,Others,91.7
2004-Q3,Total,Department Stores,61.9
2004-Q3,Total,Supermarkets,78.2
2004-Q3,Total,Mini-marts & Convenience Stores,90.2
2004-Q3,Total,Food Retailers,81.4
2004-Q3,Total,Motor Vehicles,207.1
2004-Q3,Total,Petrol Service Stations,89
2004-Q3,Total,Medical Goods & Toiletries,55.2
2004-Q3,Total,Wearing Apparel & Footwear,63.4
2004-Q3,Total,Furniture & Household Equipment,70.2
2004-Q3,Total,Recreational Goods,81.2
2004-Q3,Total,Watches & Jewellery,96.5
2004-Q3,Total,Computer & Telecommunications Equipment,39.4
2004-Q3,Total,Optical Goods & Books,91.4
2004-Q3,Total,Others,92.6
2004-Q4,Total,Department Stores,72.3
2004-Q4,Total,Supermarkets,81.1
2004-Q4,Total,Mini-marts & Convenience Stores,93
2004-Q4,Total,Food Retailers,81.5
2004-Q4,Total,Motor Vehicles,225.6
2004-Q4,Total,Petrol Service Stations,88
2004-Q4,Total,Medical Goods & Toiletries,58.9
2004-Q4,Total,Wearing Apparel & Footwear,78.2
2004-Q4,Total,Furniture & Household Equipment,84.8
2004-Q4,Total,Recreational Goods,93.4
2004-Q4,Total,Watches & Jewellery,122.8
2004-Q4,Total,Computer & Telecommunications Equipment,43.5
2004-Q4,Total,Optical Goods & Books,105.2
2004-Q4,Total,Others,97.3
2005-Q1,Total,Department Stores,69
2005-Q1,Total,Supermarkets,81.1
2005-Q1,Total,Mini-marts & Convenience Stores,100.3
2005-Q1,Total,Food Retailers,107.7
2005-Q1,Total,Motor Vehicles,244.3
2005-Q1,Total,Petrol Service Stations,87.7
2005-Q1,Total,Medical Goods & Toiletries,61.6
2005-Q1,Total,Wearing Apparel & Footwear,77.8
2005-Q1,Total,Furniture & Household Equipment,79.9
2005-Q1,Total,Recreational Goods,86.5
2005-Q1,Total,Watches & Jewellery,116
2005-Q1,Total,Computer & Telecommunications Equipment,46.7
2005-Q1,Total,Optical Goods & Books,97.7
2005-Q1,Total,Others,88.2
2005-Q2,Total,Department Stores,67.7
2005-Q2,Total,Supermarkets,76.2
2005-Q2,Total,Mini-marts & Convenience Stores,90.7
2005-Q2,Total,Food Retailers,85.9
2005-Q2,Total,Motor Vehicles,237.6
2005-Q2,Total,Petrol Service Stations,88.5
2005-Q2,Total,Medical Goods & Toiletries,57.8
2005-Q2,Total,Wearing Apparel & Footwear,68.5
2005-Q2,Total,Furniture & Household Equipment,77.1
2005-Q2,Total,Recreational Goods,89
2005-Q2,Total,Watches & Jewellery,107
2005-Q2,Total,Computer & Telecommunications Equipment,46.7
2005-Q2,Total,Optical Goods & Books,98.3
2005-Q2,Total,Others,94.8
2005-Q3,Total,Department Stores,68.7
2005-Q3,Total,Supermarkets,79.2
2005-Q3,Total,Mini-marts & Convenience Stores,95.5
2005-Q3,Total,Food Retailers,93.3
2005-Q3,Total,Motor Vehicles,230.9
2005-Q3,Total,Petrol Service Stations,90
2005-Q3,Total,Medical Goods & Toiletries,60.9
2005-Q3,Total,Wearing Apparel & Footwear,66.8
2005-Q3,Total,Furniture & Household Equipment,76.9
2005-Q3,Total,Recreational Goods,90
2005-Q3,Total,Watches & Jewellery,106.2
2005-Q3,Total,Computer & Telecommunications Equipment,48.8
2005-Q3,Total,Optical Goods & Books,104.6
2005-Q3,Total,Others,96.1
2005-Q4,Total,Department Stores,77.9
2005-Q4,Total,Supermarkets,84.8
2005-Q4,Total,Mini-marts & Convenience Stores,96
2005-Q4,Total,Food Retailers,95
2005-Q4,Total,Motor Vehicles,244.7
2005-Q4,Total,Petrol Service Stations,87.5
2005-Q4,Total,Medical Goods & Toiletries,64.3
2005-Q4,Total,Wearing Apparel & Footwear,85.1
2005-Q4,Total,Furniture & Household Equipment,91.7
2005-Q4,Total,Recreational Goods,104.7
2005-Q4,Total,Watches & Jewellery,123.3
2005-Q4,Total,Computer & Telecommunications Equipment,48.7
2005-Q4,Total,Optical Goods & Books,108.3
2005-Q4,Total,Others,101.9
2006-Q1,Total,Department Stores,71.9
2006-Q1,Total,Supermarkets,86.2
2006-Q1,Total,Mini-marts & Convenience Stores,100.4
2006-Q1,Total,Food Retailers,113.7
2006-Q1,Total,Motor Vehicles,269.1
2006-Q1,Total,Petrol Service Stations,91.1
2006-Q1,Total,Medical Goods & Toiletries,65.5
2006-Q1,Total,Wearing Apparel & Footwear,85.3
2006-Q1,Total,Furniture & Household Equipment,81.9
2006-Q1,Total,Recreational Goods,89
2006-Q1,Total,Watches & Jewellery,100.3
2006-Q1,Total,Computer & Telecommunications Equipment,50.2
2006-Q1,Total,Optical Goods & Books,96.6
2006-Q1,Total,Others,100.4
2006-Q2,Total,Department Stores,73.5
2006-Q2,Total,Supermarkets,82.6
2006-Q2,Total,Mini-marts & Convenience Stores,96.5
2006-Q2,Total,Food Retailers,93.5
2006-Q2,Total,Motor Vehicles,272.1
2006-Q2,Total,Petrol Service Stations,91.3
2006-Q2,Total,Medical Goods & Toiletries,64.2
2006-Q2,Total,Wearing Apparel & Footwear,77.4
2006-Q2,Total,Furniture & Household Equipment,80.6
2006-Q2,Total,Recreational Goods,91.9
2006-Q2,Total,Watches & Jewellery,94.3
